,,percentage_To,type_pre,percentage_From,percentage_max,opacity_score
l-LNv,Mi1,33.955491744436465,l-LNv,0.4025269273210542,33.955491744436465,97.3
l-LNv,Lawf1,5.049054797798516,l-LNv,0.17178073938989344,5.049054797798516,21.9
l-LNv,C3,1.2682459918640823,l-LNv,0.03513610267697326,1.2682459918640823,12.0
l-LNv,L1,0.9571667863125151,l-LNv,0.025048688388054283,0.9571667863125151,11.2
l-LNv,l-LNv,0.9332376166547021,l-LNv,0.8637873754152824,0.9332376166547021,11.1
l-LNv,aMe4,0.8614501076812634,l-LNv,0.40691759918616477,0.8614501076812634,10.9
l-LNv,C2,0.8375209380234505,l-LNv,0.034804053180593264,0.8375209380234505,10.9
l-LNv,L5,0.765733429050012,l-LNv,0.012716427637565917,0.765733429050012,10.7
l-LNv,R8p,0.2632208662359416,l-LNv,0.13768932281887594,0.2632208662359416,9.4
l-LNv,L3,0.191433357262503,l-LNv,0.007900064188021527,0.191433357262503,9.2
l-LNv,L4,0.191433357262503,l-LNv,0.017496282040066487,0.191433357262503,9.2
l-LNv,aMe12,0.07178750897343862,l-LNv,0.0816326530612245,0.0816326530612245,8.9
l-LNv,L2,0.07178750897343862,l-LNv,0.0012253450367399287,0.07178750897343862,8.9
Mi1,C2,1.8666523422362227,Mi1,24.188816960512316,24.188816960512316,71.8
Mi1,L1,1.289045263921236,Mi1,10.519196688563396,10.519196688563396,36.1
Mi1,C3,0.6494338652557102,Mi1,5.610506357645749,5.610506357645749,23.3
Mi1,l-LNv,0.010666584812778414,Mi1,3.078626799557032,3.078626799557032,16.7
Mi1,L5,0.38537833762426765,Mi1,1.995684362370501,1.995684362370501,13.9
Mi1,Mi1,0.29490421176624065,Mi1,1.0901416361485634,1.0901416361485634,11.5
Mi1,aMe4,0.0032997348701400853,Mi1,0.48604046569458575,0.48604046569458575,10.0
Mi1,R8p,0.0019184505058953984,Mi1,0.312930279133809,0.312930279133809,9.5
Mi1,Lawf1,0.0245561664754611,Mi1,0.26052055262922225,0.26052055262922225,9.4
Mi1,L4,0.007366849942638329,Mi1,0.20995538448079784,0.20995538448079784,9.2
Mi1,L3,0.010820060853250048,Mi1,0.13923863131387942,0.13923863131387942,9.1
Mi1,aMe12,0.00038369010117907966,Mi1,0.13605442176870747,0.13605442176870747,9.1
Mi1,L2,0.008594658266411386,Mi1,0.045746214704957336,0.045746214704957336,8.8
C3,L2,21.40117430427683,C3,25.160009639380952,25.160009639380952,74.3
C3,L5,3.964840357155265,C3,4.534996006246945,4.534996006246945,20.5
C3,R1-R6,0.1493937393600389,C3,2.3533274956217163,2.3533274956217163,14.8
C3,L1,0.5336483340860925,C3,0.9618696341012845,0.9618696341012845,11.2
C3,L3,0.21609978112080047,C3,0.6142299906186738,0.6142299906186738,10.3
C3,L4,0.08407740680262654,C3,0.5292625317120112,0.5292625317120112,10.1
C3,Mi1,0.3891185769377758,C3,0.3177097664549547,0.3891185769377758,9.7
C3,C2,0.09415279852690824,C3,0.2694828117697364,0.2694828117697364,9.4
C3,R8p,0.0010422819025118994,C3,0.03755163349605708,0.03755163349605708,8.8
C3,C3,0.01702393774102769,C3,0.03248432134286206,0.03248432134286206,8.8
C3,Lawf1,0.011812528228468193,C3,0.027680308716854864,0.027680308716854864,8.8
C3,l-LNv,0.0003474273008372998,C3,0.0221483942414175,0.0221483942414175,8.8
C3,aMe4,0.0003474273008372998,C3,0.011303266644060134,0.011303266644060134,8.7
C2,L4,7.141860465116279,C2,20.149155804391565,20.149155804391565,61.3
C2,L1,19.748837209302327,C2,15.95350963435177,19.748837209302327,60.2
C2,L5,16.22015503875969,C2,8.314954121513415,16.22015503875969,51.0
C2,L2,15.754263565891474,C2,8.300895727221857,15.754263565891474,49.8
C2,L3,8.746511627906976,C2,11.142053029180863,11.142053029180863,37.8
C2,Mi1,6.899224806201551,C2,2.524657965579551,6.899224806201551,26.7
C2,R8p,0.2589147286821705,C2,4.180748529227688,4.180748529227688,19.6
C2,C3,0.6232558139534884,C2,0.5330080481563491,0.6232558139534884,10.3
C2,l-LNv,0.009302325581395349,C2,0.26578073089701,0.26578073089701,9.4
C2,R1-R6,0.02713178294573643,C2,0.19154991243432576,0.19154991243432576,9.2
C2,Lawf1,0.056589147286821705,C2,0.05943125106854133,0.05943125106854133,8.9
C2,C2,0.024031007751937984,C2,0.030826447102811173,0.030826447102811173,8.8
R1-R6,L2,42.83466005297511,R1-R6,24.90187028497441,42.83466005297511,120.4
R1-R6,L1,42.019658401894176,R1-R6,37.45217266060906,42.019658401894176,118.3
R1-R6,L3,8.706465913961118,R1-R6,12.237199427245345,12.237199427245345,40.6
R1-R6,R1-R6,0.5726089186473783,R1-R6,4.4603765323993,4.4603765323993,20.3
R1-R6,L4,0.8374844552486809,R1-R6,2.6069460239699067,2.6069460239699067,15.5
R1-R6,C3,0.2993023304831695,R1-R6,0.2824147120828417,0.2993023304831695,9.5
R1-R6,L5,0.1370045878972255,R1-R6,0.0774907309164173,0.1370045878972255,9.1
